neighborhood,rent_min,rent_max,n_beds_min,n_beds_max,n_baths_min,n_baths_max,area_min,area_max,address_1,address_2
Studio-City_Los-Angeles_CA,1895.0,1895.0,1,1,1.0,1.0,750.0,750.0,4151 Arch Dr Apt 221,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2795.0,2795.0,2,2,2.0,2.0,1200.0,1200.0,4225 Ethel Ave Apt 2,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1995.0,1995.0,1,1,1.0,1.0,750.0,750.0,4151 Arch Dr Apt 309,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2745.0,2745.0,1,1,1.0,1.0,719.0,719.0,3930 Laurel Canyon Blvd Apt 118,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2820.0,2820.0,1,1,1.0,1.0,650.0,650.0,10925 Bluffside Dr Unit 628,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,4095.0,4095.0,2,2,2.0,2.0,1440.0,1440.0,4170 Fair Ave Ph 5,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,3395.0,3395.0,2,2,2.0,2.0,1048.0,1048.0,3930 Laurel Canyon Blvd Apt 108,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3475.0,3475.0,2,2,2.0,2.0,1048.0,1048.0,3930 Laurel Canyon Blvd Apt 222,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,4630.0,4630.0,2,2,2.0,2.0,999.0,999.0,10989 Bluffside Dr Unit 923,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,3350.0,3350.0,2,2,2.0,2.0,1048.0,1048.0,3930 Laurel Canyon Blvd Apt 121,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3250.0,3250.0,2,2,2.0,2.0,1200.0,1200.0,11027 Aqua Vista St Apt 7,"Studio City, CA 91602"
Studio-City_Los-Angeles_CA,4650.0,4650.0,3,3,2.0,2.0,1560.0,1560.0,11912 Laurelwood Dr Unit 1173,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,9995.0,9995.0,3,3,3.0,3.0,2666.0,2666.0,3442 Wrightview Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,12000.0,12000.0,3,3,3.0,3.0,2100.0,2100.0,4243 Rhodes Ave,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3895.0,3895.0,2,2,2.0,2.0,1303.0,1303.0,12700 Moorpark St Apt 101,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,22000.0,22000.0,4,4,4.0,4.0,3445.0,3445.0,13166 Valley Vista Blvd,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,15825.0,15825.0,3,3,3.0,3.0,1974.0,1974.0,3951 Sunswept Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,60000.0,60000.0,4,4,5.0,5.0,6319.0,6319.0,12021 Talus Pl,"Beverly Hills, CA 90210"
Studio-City_Los-Angeles_CA,3800.0,3800.0,2,2,2.0,2.0,1366.0,1366.0,3947 Carpenter Ave Unit 205,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,10895.0,10895.0,4,4,3.0,3.0,3200.0,3200.0,3200 Dona Emilia Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,12500.0,12500.0,3,3,3.0,3.0,2454.0,2454.0,11265 Sunshine Ter,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,14900.0,14900.0,4,4,4.0,4.0,3940.0,3940.0,12109 Maxwellton Rd,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2095.0,2095.0,1,1,1.0,1.0,700.0,700.0,Arch Sunset Apartments,"4100 Arch Dr, Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,,,Studio,3,1.0,2.0,450.0,1075.0,Woodbridge Park Apartments,"11220 Moorpark St, North Hollywood, CA 91602"
Studio-City_Los-Angeles_CA,17000.0,17000.0,4,4,4.0,4.0,5385.0,5385.0,3651 Alta Mesa Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,15500.0,15500.0,5,5,4.0,4.0,3077.0,3077.0,3136 Dona Sofia Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,10000.0,10000.0,4,4,2.0,2.0,2675.0,2675.0,10824 Alta View Dr,"Los Angeles, CA 91604"
Studio-City_Los-Angeles_CA,9000.0,9000.0,3,3,2.0,2.0,2000.0,2000.0,11769 Laurelcrest Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,2598.0,2598.0,2,2,1.0,1.0,950.0,950.0,11833-37 Laurelwood Drive,"11833-37 Laurelwood Dr, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,9500.0,9500.0,4,4,2.0,2.0,2981.0,2981.0,11217 Sunshine Ter,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,6495.0,6495.0,3,3,4.0,4.0,2773.0,2773.0,12841 Bloomfield St Unit 306,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,3525.0,3525.0,2,2,2.0,2.0,1249.0,1249.0,Parc St Clair West,"12246 Moorpark St, Studio City, CA 91604"
Studio-City_Los-Angeles_CA,11500.0,11500.0,3,3,2.0,2.0,2657.0,2657.0,11401 Aqua Vista St,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,11995.0,11995.0,4,4,4.0,4.0,2810.0,2810.0,3537 Berry Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,1550.0,1550.0,Studio,Studio,1.0,1.0,525.0,525.0,127VIR RCLA RUBS,"4540 Laurel Canyon Blvd, Valley Village, CA 91607"
Studio-City_Los-Angeles_CA,18500.0,18500.0,5,5,6.0,6.0,4859.0,4859.0,11559 Dona Teresa Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,8999.0,8999.0,3,3,2.0,2.0,1956.0,1956.0,4322 Elmer Ave,"North Hollywood, CA 91602"
Studio-City_Los-Angeles_CA,8000.0,8000.0,3,3,2.0,2.0,1436.0,1436.0,11775 Laurelwood Dr,"Studio City, CA 91604"
Studio-City_Los-Angeles_CA,17225.0,17225.0,4,4,4.0,4.0,3052.0,3052.0,11559 Dona Evita Dr,"Studio City, CA 91604"
