company,ticker,link,type
Compañía de las Cervecerías Unidas,CCU,https://www.wikipedia.org/wiki/Compa%C3%B1%C3%ADa_de_las_Cervecer%C3%ADas_Unidas,
Computer Sciences Corporation,CSC,https://www.wikipedia.org/wiki/Computer_Sciences_Corporation,public
Con-way,CNW,https://www.wikipedia.org/wiki/Con-way,public
ConAgra Foods,CAG,https://www.wikipedia.org/wiki/ConAgra_Foods,public
ConocoPhillips,COP,https://www.wikipedia.org/wiki/ConocoPhillips,public
CONSOL Energy Inc.,CNX,https://www.wikipedia.org/wiki/Consol_Energy,public
Consolidated Edison,ED,https://www.wikipedia.org/wiki/Consolidated_Edison,public
Constellation Brands,STZ,https://www.wikipedia.org/wiki/Constellation_Brands,public
The Container Store,TCS,https://www.wikipedia.org/wiki/The_Container_Store,public
Continental Resources,CLR,https://www.wikipedia.org/wiki/Continental_Resources,
Volaris,VLRS,https://www.wikipedia.org/wiki/Volaris,
Convergys,CVG,https://www.wikipedia.org/wiki/Convergys,public
The Cooper Companies,COO,https://www.wikipedia.org/wiki/The_Cooper_Companies,public
Cooper-Standard Automotive,CPS,https://www.wikipedia.org/wiki/Cooper-Standard_Automotive,
Cooper Tire & Rubber Company,CTB,https://www.wikipedia.org/wiki/Cooper_Tire_%26_Rubber_Company,
Copa Holdings,CPA,https://www.wikipedia.org/wiki/Copa_Holdings,
Core Laboratories,CLB,https://www.wikipedia.org/wiki/Core_Laboratories,public
CoreLogic,CLGX,https://www.wikipedia.org/wiki/CoreLogic,
Corning Inc.,GLW,https://www.wikipedia.org/wiki/Corning_Inc.,public
Corpbanca,BCA,https://www.wikipedia.org/wiki/Corpbanca,
The Corporate Executive Board Company,CEB,https://www.wikipedia.org/wiki/The_Corporate_Executive_Board_Company,
Corporate Office Properties Trust,OFC,https://www.wikipedia.org/wiki/Corporate_Office_Properties_Trust,public
Corrections Corporation of America,CXW,https://www.wikipedia.org/wiki/Corrections_Corporation_of_America,public
Cosan,CZZ,https://www.wikipedia.org/wiki/Cosan,public
Costamare,CMRE,https://www.wikipedia.org/wiki/Costamare,
Cott,COT,https://www.wikipedia.org/wiki/Cott,public
"Coty, Inc.",COTY,"https://www.wikipedia.org/wiki/Coty,_Inc.",public
Coupons.com,COUP,https://www.wikipedia.org/wiki/Coupons.com,public
Cousins Properties,CUZ,https://www.wikipedia.org/wiki/Cousins_Properties,public
Covance,CVD,https://www.wikipedia.org/wiki/Covance,
Covanta Energy,CVA,https://www.wikipedia.org/wiki/Covanta_Energy,
Covidien,COV,https://www.wikipedia.org/wiki/Covidien,
CPFL Energia,CPL,https://www.wikipedia.org/wiki/CPFL_Energia,
Crane Co.,CR,https://www.wikipedia.org/wiki/Crane_Co.,public
Crawford & Company,CRD.A,https://www.wikipedia.org/wiki/Crawford_%26_Company,public
Credicorp,BAP,https://www.wikipedia.org/wiki/Credicorp,
Credit Suisse,CS,https://www.wikipedia.org/wiki/Credit_Suisse,
Crescent Point Energy,CPG,https://www.wikipedia.org/wiki/Crescent_Point_Energy,
CRH plc,CRH,https://www.wikipedia.org/wiki/CRH_plc,
Crown Castle,CCI,https://www.wikipedia.org/wiki/Crown_Castle,public
Crown Holdings,CCK,https://www.wikipedia.org/wiki/Crown_Holdings,public
